2018-08-09 12:10:06,045 [INFO   ] local-test13 >> Starting kill query Thread: local-test13
2018-08-09 12:10:39,856 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:41,868 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:41,882 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:42,006 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:44,040 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:44,064 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:44,149 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:46,184 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:10:46,213 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:46,367 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:48,381 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:48,396 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:48,445 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:50,506 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:50,524 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:50,616 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:52,628 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:52,632 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:52,664 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:54,667 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:54,671 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:54,707 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:56,714 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:56,723 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:56,801 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:58,803 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:10:58,806 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:58,828 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:00,834 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:00,838 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:00,870 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:02,878 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:02,882 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:02,904 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:04,910 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:04,913 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:04,931 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:06,941 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:06,948 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:07,170 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:09,179 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:09,182 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:09,221 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:11,222 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:11:11,225 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:11,247 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:13,254 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:13,260 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:13,293 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:15,300 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:15,304 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:15,454 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:17,479 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:17,491 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:17,552 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:19,562 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:19,567 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:19,617 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:21,622 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:21,631 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:21,665 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:23,667 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:11:23,683 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:23,757 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:25,768 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:25,774 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:25,804 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:27,815 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:27,819 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:27,855 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:29,862 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:29,865 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:29,899 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:31,906 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:31,912 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:31,947 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:33,954 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:33,961 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:34,007 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:36,008 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:11:36,014 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:36,052 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:38,082 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:38,087 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:38,134 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:40,137 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:40,144 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:40,188 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:42,195 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:42,207 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:42,259 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:44,293 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:44,318 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:44,412 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:46,419 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:46,426 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:46,462 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:48,463 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:11:48,470 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:48,526 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:50,533 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:50,537 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:50,570 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:52,579 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:52,584 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:52,638 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:54,694 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:54,709 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:54,818 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:56,865 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:56,887 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:56,960 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:11:58,966 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:11:58,977 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:11:59,030 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:01,031 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:12:01,035 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:01,087 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:03,103 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:03,110 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:03,153 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:05,171 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:05,193 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:05,245 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:07,271 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:07,276 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:07,330 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:09,365 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:09,369 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:09,419 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:11,433 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:11,443 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:11,485 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:13,487 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:12:13,496 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:13,535 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:15,543 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:15,554 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:15,586 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:17,591 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:17,598 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:17,624 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:19,631 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:19,634 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:19,667 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:21,683 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:21,713 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:22,030 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:24,044 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:24,053 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:24,154 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:26,159 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:12:26,167 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:26,198 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:28,202 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:28,214 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:28,378 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:30,404 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:30,417 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:30,448 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:32,457 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:32,462 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:32,512 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:34,554 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:34,561 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:34,615 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:36,619 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:36,631 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:36,671 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:38,672 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:12:38,679 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:38,726 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:40,760 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:40,765 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:40,818 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:42,828 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:42,833 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:42,868 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:44,871 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:44,881 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:44,939 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:46,953 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:46,963 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:47,055 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:49,060 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:49,063 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:49,079 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:51,080 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:12:51,167 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:51,215 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:53,223 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:53,229 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:53,290 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:55,298 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:55,303 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:55,335 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:57,339 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:57,345 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:57,384 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:12:59,388 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:12:59,394 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:12:59,431 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:13:01,436 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
